Transaction,Status,Txnauthid,TxnDateTime,Txntype,Txnstatus,Error_Type,Errorcode,Error_Msg,Responsecode,Response_Description
m2m Quick FT,PASS,809312246584,2018-04-03 12:03:33.0,APQM,C,-,null,null,00,-
m2m Benificiary Account list,PASS,809312246585,2018-04-03 12:03:37.0,APRM,C,-,null,null,00,null
m2m Benificiary Registration,PASS,809312246586,2018-04-03 12:03:39.0,APC1,C,-,null,null,00,null
m2m Register benificiary search,PASS,809312246587,2018-04-03 12:03:40.0,APF1,C,-,null,null,00,null
m2m benificiary payment,PASS,809312246588,2018-04-03 12:03:42.0,APFT,C,-,null,null,00,-
m2m benificiary search,PASS,809312246590,2018-04-03 12:03:47.0,APD5,C,-,null,null,00,null
m2m benificiary search,PASS,809312246591,2018-04-03 12:03:48.0,APD5,C,-,null,null,00,null
m2m benificiary delete search,PASS,809312246592,2018-04-03 12:03:50.0,AP2L,C,-,null,null,00,null
m2m benificiary delete search,PASS,809312246593,2018-04-03 12:03:51.0,AP2L,C,-,null,null,00,null
M2M benificiary delete,PASS,809312246594,2018-04-03 12:03:52.0,AP2D,C,-,null,null,00,null
m2m Quick FT Benificiary Not Registered For Mobile Banking,FAIL,809312246595,2018-04-03 12:03:54.0,APQM,F,C,null,null,09,Beneficiary not registered for mobile banking.Kindly transfer funds through mobile to account option
m2m Quick FT Insufficient Amount,FAIL,809312246596,2018-04-03 12:03:55.0,APQM,F,B,null,null,09,Minimum Amount permitted for this transaction is Rs. 5.00. Please enter a higher amount
m2m Quick FT Amount Exceeds Limit,FAIL,809312246597,2018-04-03 12:03:56.0,APQM,F,B,null,null,09,Maximum Amount permitted for this transaction is Rs. 5,000.00. Please enter a lesser amount
m2m Ben Reg Acclist For Random Mobile No,FAIL,809312246598,2018-04-03 12:03:57.0,APRM,F,B,null,null,09,Beneficiary not a mobile banking customer. Please contact bank for further details
m2m ben payment Exceed Transaction Amount,FAIL,809312246599,2018-04-03 12:03:59.0,APFT,F,C,null,null,09,Beneficiary not registered in mobile banking server
m2m ben payment Insufficient Amount,FAIL,809312246600,2018-04-03 12:04:00.0,APFT,F,C,null,null,09,Beneficiary not registered in mobile banking server
m2m Ben Del Same Ben SearchWKw,FAIL,809312246601,2018-04-03 12:04:02.0,AP2L,F,C,null,null,09,Beneficiary FTBeneficiary not found.
P2A Quick FT,PASS,809312246602,2018-04-03 12:04:03.0,APQT,C,-,null,null,00,-
m2a benificary registration search,PASS,809312246603,2018-04-03 12:04:06.0,APRA,C,-,null,null,00,-
m2a benificiary req,PASS,809312246604,2018-04-03 12:04:07.0,APC2,C,-,null,null,00,null
m2a benificiary payment search,PASS,809312246605,2018-04-03 12:04:08.0,APF2,C,-,null,null,00,null
m2a benificiary payment,PASS,809312246606,2018-04-03 12:04:10.0,APFA,C,-,null,null,00,-
m2a benificiary details Without Keyword,PASS,809312246607,2018-04-03 12:04:14.0,APD6,C,-,null,null,00,null
m2a benificiary details With Keyword,PASS,809312246608,2018-04-03 12:04:16.0,APD6,C,-,null,null,00,null
