Transaction,Status,Txnauthid,TxnDateTime,Txntype,Txnstatus,Error_Type,Errorcode,Error_Msg,Responsecode,Response_Description
Balance Enquiry,PASS,809318246769,2018-04-03 18:14:38.0,APBE,C,-,null,null,00,-
Mini statement,PASS,809318246770,2018-04-03 18:14:41.0,APMS,C,-,null,null,00,-
Transaction History,PASS,809318246771,2018-04-03 18:14:45.0,APTH,C,-,null,null,00,null
Generate MMID,PASS,809318246772,2018-04-03 18:14:47.0,APIM,C,-,null,null,00,null
Retrieve MMID,PASS,809318246773,2018-04-03 18:14:48.0,APS6,C,-,null,null,00,null
Generate MMID,PASS,809318246774,2018-04-03 18:14:49.0,APIM,C,-,null,null,00,null
Cancel MMID All,PASS,809318246775,2018-04-03 18:14:51.0,APRC,C,-,null,null,00,null
Generate MMID,PASS,809318246776,2018-04-03 18:14:53.0,APIM,C,-,null,null,00,null
Cancel MMID Single,PASS,809318246777,2018-04-03 18:14:55.0,APRC,C,-,null,null,00,null
Email ID fetch,PASS,809318246778,2018-04-03 18:14:56.0,APZ6,C,-,null,null,00,null
Email ID Update,PASS,809318246779,2018-04-03 18:14:58.0,APZ3,C,-,null,null,00,null
Cheque status,PASS,809318246780,2018-04-03 18:14:59.0,APLW,C,-,null,null,00,-
Account Fetch,PASS,809318246781,2018-04-03 18:15:01.0,APSY,C,-,null,null,00,-
Stop Cheque,PASS,809318246782,2018-04-03 18:15:07.0,APL4,C,-,null,null,00,-
Change Login Password,PASS,809318246783,2018-04-03 18:15:09.0,APP5,C,-,null,null,00,null
Balance Enquiry with closed Account,FAIL,809318246784,2018-04-03 18:15:10.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry with Inactive Account,FAIL,809318246785,2018-04-03 18:15:11.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry with Blocked Account,FAIL,809318246786,2018-04-03 18:15:14.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry For Account Having Zero Balance,FAIL,809318246787,2018-04-03 18:15:15.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry For Account Having Negative Balance,FAIL,809318246788,2018-04-03 18:15:17.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini statement For Closed Account,FAIL,809318246789,2018-04-03 18:15:18.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini statement For Inactive Account,FAIL,809318246790,2018-04-03 18:15:19.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini Statement For Blocked Account,FAIL,809318246791,2018-04-03 18:15:20.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Cheque Status Check Not Issued To Customer,PASS,809318246792,2018-04-03 18:15:21.0,APLW,C,-,null,null,00,-
Stop Cheque Check Already Stopped,PASS,809318246793,2018-04-03 18:15:24.0,APL4,C,-,null,null,00,-
Again Cancel All MMIDs,PASS,809318246794,2018-04-03 18:15:26.0,APIM,C,-,null,null,00,null
Again Cancel All MMIDs,PASS,809318246795,2018-04-03 18:15:28.0,APRC,C,-,null,null,00,null
Retrieve MMID,FAIL,809318246796,2018-04-03 18:15:29.0,APS6,F,C,null,null,09,Please do Generate MMID to proceed with the transaction.
Generate MMID,FAIL,809318246797,2018-04-03 18:15:31.0,APS6,F,C,null,null,09,Please do Generate MMID to proceed with the transaction.
Generate MMID,PASS,809318246798,2018-04-03 18:15:32.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPayment,PASS,809318246799,2018-04-03 18:15:35.0,APQI,C,-,null,null,00,-
IMPSP2PAddBeneficiaryPreConfirmation,PASS,809318246800,2018-04-03 18:15:39.0,APW1,C,-,null,null,00,null
IMPSP2PAddBeneficiaryconfirmation,PASS,809318246801,2018-04-03 18:15:41.0,APW2,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentListenquiry,PASS,809318246802,2018-04-03 18:15:44.0,APW3,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentListenquiry,PASS,809318246803,2018-04-03 18:15:46.0,APW3,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentConfirmation,PASS,809318246804,2018-04-03 18:15:48.0,APW4,C,-,null,null,00,-
IMPSP2PBeneficiarySearchListenquiryWKw,PASS,809318246805,2018-04-03 18:15:53.0,APD9,C,-,null,null,00,null
IMPSP2PBeneficiarySearchListenquiryWoKw,PASS,809318246806,2018-04-03 18:15:55.0,APD9,C,-,null,null,00,null
IMPSP2PDeleteBeneficiaryListenquiry,PASS,809318246807,2018-04-03 18:15:56.0,AP5L,C,-,null,null,00,null
IMPSP2PDeleteBeneficiaryListenquiry,PASS,809318246808,2018-04-03 18:15:58.0,AP5L,C,-,null,null,00,null
IMPSP2PDeleteBeneficiaryConfirmation,PASS,809318246809,2018-04-03 18:15:59.0,AP5D,C,-,null,null,00,null
Generate MMID,PASS,809318246810,2018-04-03 18:16:00.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentWithInvalidMMID,PASS,809318246811,2018-04-03 18:16:02.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809318246812,2018-04-03 18:16:07.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentWithExceededAmount,FAIL,809318246813,2018-04-03 18:16:08.0,APQI,F,B,null,null,09,Maximum Amount permitted for this transaction is Rs. 5,000.00. Please enter a lesser amount
Generate MMID,PASS,809318246814,2018-04-03 18:16:10.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentWithInsufficientAmount,FAIL,809318246815,2018-04-03 18:16:11.0,APQI,F,B,null,null,09,Minimum Amount permitted for this transaction is Rs. 5.00. Please enter a higher amount
IMPSP2PBeneficiaryPaymentConfirmationwithExceededAmount,FAIL,809318246816,2018-04-03 18:16:14.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
IMPSP2PBeneficiaryPaymentConfirmationwithInsufficientAmount,FAIL,809318246817,2018-04-03 18:16:15.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
Generate MMID,PASS,809318246818,2018-04-03 18:16:17.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentForM0Decline,PASS,809318246819,2018-04-03 18:16:18.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809318246820,2018-04-03 18:16:23.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentForM1Decline,PASS,809318246821,2018-04-03 18:16:25.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809318246822,2018-04-03 18:16:30.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentForM2Decline,PASS,809318246823,2018-04-03 18:16:31.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809318246824,2018-04-03 18:16:37.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentForM3Decline,PASS,809318246825,2018-04-03 18:16:38.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809318246826,2018-04-03 18:16:44.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentForM4Decline,PASS,809318246827,2018-04-03 18:16:45.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809318246828,2018-04-03 18:16:50.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentForM5Decline,PASS,809318246829,2018-04-03 18:16:52.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809318246830,2018-04-03 18:16:57.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentForM6Decline,PASS,809318246831,2018-04-03 18:16:58.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809318246832,2018-04-03 18:17:04.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentfor92Decline,PASS,809318246833,2018-04-03 18:17:05.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809318246834,2018-04-03 18:17:10.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentfor13Decline,PASS,809318246835,2018-04-03 18:17:11.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809318246836,2018-04-03 18:17:18.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPaymentfor51Decline,PASS,809318246837,2018-04-03 18:17:19.0,APQI,C,-,null,null,00,-
IMPSP2PAddBeneficiaryPreConfirmation,PASS,809318246838,2018-04-03 18:17:25.0,APW1,C,-,null,null,00,null
IMPSP2PAddBeneficiaryPreConfirmation,PASS,809318246839,2018-04-03 18:17:26.0,APW1,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentListenquiry,FAIL,809318246840,2018-04-03 18:17:27.0,APW3,F,C,null,null,09,Beneficiary ufhbjnk not found.
IMPSP2PBeneficiaryPaymentConfirmation,FAIL,809318246841,2018-04-03 18:17:29.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
IMPSP2PDeleteBeneficiaryConfirmation,FAIL,809318246842,2018-04-03 18:17:30.0,AP5D,F,B,null,null,09,Beneficiary deregistration not successful
IMPSP2PAddBeneficiaryPreConfirmation,PASS,809318246843,2018-04-03 18:17:31.0,APW1,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentConfirmation,FAIL,809318246844,2018-04-03 18:17:33.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
IMPSP2PAddBeneficiaryPreConfirmation,PASS,809318246845,2018-04-03 18:17:35.0,APW1,C,-,null,null,00,null
IMPSP2PRegBeneficiaryPaymentForM1Decline,FAIL,809318246846,2018-04-03 18:17:36.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
IMPSP2PAddBeneficiaryPreConfirmation,PASS,809318246847,2018-04-03 18:17:37.0,APW1,C,-,null,null,00,null
IMPSP2PRegBeneficiaryPaymentForM2Decline,FAIL,809318246848,2018-04-03 18:17:39.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
IMPSP2PRegBeneficiaryPaymentForM3Decline,PASS,809318246849,2018-04-03 18:17:40.0,APW1,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentConfirmation,FAIL,809318246850,2018-04-03 18:17:41.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
IMPSP2PAddBeneficiaryPreConfirmation,PASS,809318246851,2018-04-03 18:17:47.0,APW1,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentConfirmation,FAIL,809318246852,2018-04-03 18:17:48.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
IMPSP2PAddBeneficiaryPreConfirmation,PASS,809318246853,2018-04-03 18:17:50.0,APW1,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentConfirmation,FAIL,809318246854,2018-04-03 18:17:51.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
IMPSP2PAddBeneficiaryPreConfirmation,PASS,809318246855,2018-04-03 18:17:53.0,APW1,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentConfirmation,FAIL,809318246856,2018-04-03 18:17:54.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
Generate MMID,PASS,809318246857,2018-04-03 18:17:55.0,APIM,C,-,null,null,00,null
IMPSP2AInstantPayment,PASS,809318246858,2018-04-03 18:17:57.0,APK1,C,-,null,null,00,-
IMPSP2AAddBeneficiary,PASS,809318246859,2018-04-03 18:18:01.0,APK2,C,-,null,null,00,null
IMPSP2AAddBeneficiaryconfirmation,PASS,809318246860,2018-04-03 18:18:04.0,APK3,C,-,null,null,00,null
IMPSP2ABeneficiaryPaymentListenquiry,PASS,809318246861,2018-04-03 18:18:05.0,APK4,C,-,null,null,00,null
IMPSP2ABeneficiaryPaymentListenquiry,PASS,809318246862,2018-04-03 18:18:07.0,APK4,C,-,null,null,00,null
IMPSP2ABeneficiaryPaymentConfirmation,PASS,809318246863,2018-04-03 18:18:08.0,APK5,C,-,null,null,00,-
IMPSP2ABeneficiarySearchListenquiry,PASS,809318246864,2018-04-03 18:18:14.0,AP4W,C,-,null,null,00,null
IMPSP2ABeneficiarySearchListenquiry,PASS,809318246865,2018-04-03 18:18:16.0,AP4W,C,-,null,null,00,null
