Transaction,Status,Txnauthid,TxnDateTime,Txntype,Txnstatus,Error_Type,Errorcode,Error_Msg,Responsecode,Response_Description
Generate MMID,PASS,809309246221,2018-04-03 09:41:02.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPayment,PASS,809309246222,2018-04-03 09:41:05.0,APQI,C,-,null,null,00,-
IMPSP2PAddBeneficiaryPreConfirmation,PASS,809309246223,2018-04-03 09:41:10.0,APW1,C,-,null,null,00,null
IMPSP2PAddBeneficiaryconfirmation,PASS,809309246224,2018-04-03 09:41:11.0,APW2,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentListenquiry,PASS,809309246225,2018-04-03 09:41:12.0,APW3,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentListenquiry,PASS,809309246226,2018-04-03 09:41:14.0,APW3,C,-,null,null,00,null
IMPSP2PBeneficiaryPaymentConfirmation,PASS,809309246227,2018-04-03 09:41:15.0,APW4,C,-,null,null,00,-
IMPSP2PBeneficiarySearchListenquiryWKw,PASS,809309246228,2018-04-03 09:41:19.0,APD9,C,-,null,null,00,null
IMPSP2PBeneficiarySearchListenquiryWoKw,PASS,809309246229,2018-04-03 09:41:20.0,APD9,C,-,null,null,00,null
IMPSP2PDeleteBeneficiaryListenquiry,PASS,809309246230,2018-04-03 09:41:22.0,AP5L,C,-,null,null,00,null
IMPSP2PDeleteBeneficiaryListenquiry,PASS,809309246231,2018-04-03 09:41:23.0,AP5L,C,-,null,null,00,null
IMPSP2PDeleteBeneficiaryConfirmation,PASS,809309246232,2018-04-03 09:41:24.0,AP5D,C,-,null,null,00,null
Generate MMID,PASS,809309246233,2018-04-03 09:41:25.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPayment,PASS,809309246234,2018-04-03 09:41:27.0,APQI,C,-,null,null,00,-
Generate MMID,PASS,809309246235,2018-04-03 09:41:30.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPayment,FAIL,809309246236,2018-04-03 09:41:31.0,APQI,F,B,null,null,09,Maximum Amount permitted for this transaction is Rs. 5,000.00. Please enter a lesser amount
Generate MMID,PASS,809309246237,2018-04-03 09:41:32.0,APIM,C,-,null,null,00,null
IMPSP2PInstantPayment,FAIL,809309246238,2018-04-03 09:41:33.0,APQI,F,B,null,null,09,Minimum Amount permitted for this transaction is Rs. 5.00. Please enter a higher amount
IMPSP2PBeneficiaryPaymentConfirmation,FAIL,809309246239,2018-04-03 09:41:35.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
IMPSP2PBeneficiaryPaymentConfirmation,FAIL,809309246240,2018-04-03 09:41:36.0,APW4,F,C,null,null,09,Beneficiary not registered. Please register the Beneficiary and proceed
Generate MMID,PASS,809309246241,2018-04-03 09:41:37.0,APIM,C,-,null,null,00,null
IMPSP2AInstantPayment,PASS,809309246242,2018-04-03 09:41:38.0,APK1,C,-,null,null,00,-
IMPSP2AAddBeneficiary,PASS,809309246243,2018-04-03 09:41:42.0,APK2,C,-,null,null,00,null
IMPSP2AAddBeneficiaryconfirmation,PASS,809309246244,2018-04-03 09:41:43.0,APK3,C,-,null,null,00,null
IMPSP2ABeneficiaryPaymentListenquiry,PASS,809309246245,2018-04-03 09:41:45.0,APK4,C,-,null,null,00,null
IMPSP2ABeneficiaryPaymentListenquiry,PASS,809309246246,2018-04-03 09:41:47.0,APK4,C,-,null,null,00,null
IMPSP2ABeneficiaryPaymentConfirmation,PASS,809309246247,2018-04-03 09:41:48.0,APK5,C,-,null,null,00,-
IMPSP2ABeneficiarySearchListenquiry,PASS,809309246248,2018-04-03 09:41:53.0,AP4W,C,-,null,null,00,null
