Transaction,Status,Txnauthid,TxnDateTime,Txntype,Txnstatus,Error_Type,Errorcode,Error_Msg,Responsecode,Response_Description
Balance Enquiry,PASS,809312246554,2018-04-03 12:02:33.0,APBE,C,-,null,null,00,-
Mini statement,PASS,809312246555,2018-04-03 12:02:35.0,APMS,C,-,null,null,00,-
Transaction History,PASS,809312246557,2018-04-03 12:02:38.0,APTH,C,-,null,null,00,null
Generate MMID,PASS,809312246558,2018-04-03 12:02:42.0,APIM,C,-,null,null,00,null
Retrieve MMID,PASS,809312246559,2018-04-03 12:02:45.0,APS6,C,-,null,null,00,null
Generate MMID,PASS,809312246560,2018-04-03 12:02:46.0,APIM,C,-,null,null,00,null
Cancel MMID All,PASS,809312246561,2018-04-03 12:02:48.0,APRC,C,-,null,null,00,null
Generate MMID,PASS,809312246562,2018-04-03 12:02:49.0,APIM,C,-,null,null,00,null
Cancel MMID Single,PASS,809312246563,2018-04-03 12:02:50.0,APRC,C,-,null,null,00,null
Email ID fetch,PASS,809312246564,2018-04-03 12:02:52.0,APZ6,C,-,null,null,00,null
Email ID Update,PASS,809312246565,2018-04-03 12:02:53.0,APZ3,C,-,null,null,00,null
Cheque status,PASS,809312246566,2018-04-03 12:02:54.0,APLW,C,-,null,null,00,-
Account Fetch,PASS,809312246567,2018-04-03 12:02:56.0,APSY,C,-,null,null,00,-
Stop Cheque,PASS,809312246568,2018-04-03 12:03:01.0,APL4,C,-,null,null,00,-
Change Login Password,PASS,809312246569,2018-04-03 12:03:03.0,APP5,C,-,null,null,00,null
Balance Enquiry with closed Account,FAIL,809312246570,2018-04-03 12:03:04.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry with Inactive Account,FAIL,809312246571,2018-04-03 12:03:05.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry with Blocked Account,FAIL,809312246572,2018-04-03 12:03:07.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry For Account Having Zero Balance,FAIL,809312246573,2018-04-03 12:03:08.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry For Account Having Negative Balance,FAIL,809312246574,2018-04-03 12:03:09.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini statement For Closed Account,FAIL,809312246575,2018-04-03 12:03:10.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini statement For Inactive Account,FAIL,809312246576,2018-04-03 12:03:11.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini Statement For Blocked Account,FAIL,809312246577,2018-04-03 12:03:12.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Cheque Status Check Not Issued To Customer,PASS,809312246578,2018-04-03 12:03:15.0,APLW,C,-,null,null,00,-
Stop Cheque Check Already Stopped,PASS,809312246579,2018-04-03 12:03:18.0,APL4,C,-,null,null,00,-
Again Cancel All MMIDs,PASS,809312246580,2018-04-03 12:03:20.0,APIM,C,-,null,null,00,null
Again Cancel All MMIDs,PASS,809312246581,2018-04-03 12:03:22.0,APRC,C,-,null,null,00,null
Retrieve MMID,FAIL,809312246582,2018-04-03 12:03:23.0,APS6,F,C,null,null,09,Please do Generate MMID to proceed with the transaction.
Generate MMID,FAIL,809312246583,2018-04-03 12:03:24.0,APS6,F,C,null,null,09,Please do Generate MMID to proceed with the transaction.
