Transaction,Status,Txnauthid,TxnDateTime,Txntype,Txnstatus,Error_Type,Errorcode,Error_Msg,Responsecode,Response_Description
Balance Enquiry,PASS,809311246456,2018-04-03 11:50:16.0,APBE,C,-,null,null,00,-
Mini statement,PASS,809311246457,2018-04-03 11:50:19.0,APMS,C,-,null,null,00,-
Transaction History,PASS,809311246458,2018-04-03 11:50:21.0,APTH,C,-,null,null,00,null
Generate MMID,PASS,809311246459,2018-04-03 11:50:24.0,APIM,C,-,null,null,00,null
Retrieve MMID,PASS,809311246460,2018-04-03 11:50:25.0,APS6,C,-,null,null,00,null
Generate MMID,PASS,809311246461,2018-04-03 11:50:27.0,APIM,C,-,null,null,00,null
Cancel MMID All,PASS,809311246462,2018-04-03 11:50:28.0,APRC,C,-,null,null,00,null
Generate MMID,PASS,809311246463,2018-04-03 11:50:29.0,APIM,C,-,null,null,00,null
Cancel MMID Single,PASS,809311246464,2018-04-03 11:50:31.0,APRC,C,-,null,null,00,null
Email ID fetch,PASS,809311246465,2018-04-03 11:50:32.0,APZ6,C,-,null,null,00,null
Email ID Update,PASS,809311246466,2018-04-03 11:50:33.0,APZ3,C,-,null,null,00,null
Cheque status,PASS,809311246467,2018-04-03 11:50:35.0,APLW,C,-,null,null,00,-
Account Fetch,PASS,809311246468,2018-04-03 11:50:37.0,APSY,C,-,null,null,00,-
Stop Cheque,PASS,809311246469,2018-04-03 11:50:41.0,APL4,C,-,null,null,00,-
Change Login Password,PASS,809311246470,2018-04-03 11:50:44.0,APP5,C,-,null,null,00,null
Balance Enquiry with closed Account,FAIL,809311246471,2018-04-03 11:50:46.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry with Inactive Account,FAIL,809311246472,2018-04-03 11:50:47.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry with Blocked Account,FAIL,809311246473,2018-04-03 11:50:48.0,APBE,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Balance Enquiry For Account Having Zero Balance,PASS,809311246474,2018-04-03 11:50:49.0,APBE,C,-,null,null,00,-
Balance Enquiry For Account Having Negative Balance,PASS,809311246475,2018-04-03 11:50:51.0,APBE,C,-,null,null,00,-
Mini statement For Closed Account,FAIL,809311246476,2018-04-03 11:50:53.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini statement For Inactive Account,FAIL,809311246477,2018-04-03 11:50:54.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Mini Statement For Blocked Account,FAIL,809311246478,2018-04-03 11:50:55.0,APMS,F,C,null,null,09,Your Mobile Number is not registered for TMB Mconnect. Please contact your branch
Cheque Status Check Not Issued To Customer,PASS,809311246479,2018-04-03 11:50:56.0,APLW,C,-,null,null,00,-
Stop Cheque Check Already Stopped,PASS,809311246480,2018-04-03 11:50:58.0,APL4,C,-,null,null,00,-
Again Cancel All MMIDs,PASS,809311246481,2018-04-03 11:51:00.0,APIM,C,-,null,null,00,null
Again Cancel All MMIDs,PASS,809311246482,2018-04-03 11:51:01.0,APRC,C,-,null,null,00,null
Retrieve MMID,FAIL,809311246483,2018-04-03 11:51:02.0,APS6,F,C,null,null,09,Please do Generate MMID to proceed with the transaction.
Generate MMID,FAIL,809311246484,2018-04-03 11:51:04.0,APS6,F,C,null,null,09,Please do Generate MMID to proceed with the transaction.
